Gender,Birthdate,Age,Product,Date,Time,Quantity,Revenue
Женский,1998-01-28,27,16 հեքիաթ շարքից՝ Սուտասանը,2023-08-14,21:58:17,1,288
Женский,2005-07-27,20,Լատիներենի դասագիրք,2023-12-03,22:02:14,1,1406.5
Мужской,1990-01-04,35,Կոշկավոր կատուն  - համայնապատկեր,2023-03-26,21:59:52,1,1447.5
Женский,1992-08-11,33,Մայրենի 3-1,2023-03-09,22:05:12,1,1450
Женский,1985-03-05,40,Հանճարեղ մեխանիկը,2023-11-24,22:44:53,1,1462.5
Женский,2005-07-27,20,Երկիր անապատ,2023-04-05,22:08:49,1,1611.55
Женский,1990-08-20,35,Ընթերցանության վարժարան 1-2-րդ դասարաններ,2023-04-17,21:59:05,1,1640.5
Женский,1981-03-03,44,Մաթեմատիկա 1 Առաջին մաս,2023-08-31,22:11:35,1,1657.4
Женский,1990-02-13,35,Երկարագուլպա Պիպին,2023-02-19,22:09:32,1,1680.32
Женский,1984-01-21,41,Վիշապ․ Տուրբոկնոջ հարձակումը,2023-05-29,17:11:29,1,1714.37
Женский,2020-02-02,5,Մայրենի 2 Սփյուռքի դպրոցների համար,2023-07-30,21:56:21,1,1731.15
Женский,1992-08-11,33,Ինքնուրույն ընթերցանության նյութեր 3,2023-08-22,21:58:28,1,1737
Женский,1982-02-14,43,Подросток,2023-08-21,22:03:35,1,1759.76
Мужской,1990-01-04,35,Փիսոն խաղում է բակում,2023-03-26,21:59:52,1,1794.5
Женский,1958-10-25,67,Ապուշի կյանքը,2023-08-24,21:59:20,1,1800
Женский,1985-03-05,40,Գունավոր մատիտներ - Super Heroes Space,2023-09-23,22:01:06,1,1824
Женский,1992-08-11,33,Իմ առաջին այբուբենը,2023-12-04,22:08:15,1,1826.43
Женский,1979-10-08,46,ANTARES (Fashion),2023-12-17,22:27:51,1,1835.22
Женский,1998-12-03,27,Չոփչոփիկ,2023-09-14,22:11:59,1,1866.38
Женский,1994-06-12,31,Хазарский словарь (мужская версия),2023-02-18,22:04:53,1,1873.75
Женский,1981-03-03,44,Նկարիչ թե՞ գյուտարար,2023-02-15,20:00:14,1,1891.5
Женский,1981-03-03,44,Ռապունցելը (կպչուկներով հեքիաթժամանց),2023-02-15,20:00:14,1,1930.3
Женский,2005-07-27,20,Տիրուհին,2023-07-26,22:08:48,1,1930.3
Женский,1990-02-13,35,Էմիլը Լյոնեբերգայից,2023-04-30,21:56:53,1,2000
Женский,2005-07-27,20,Багдадская встреча,2023-01-10,21:57:19,1,2016
Женский,2005-07-27,20,Гончая смерти,2023-01-10,21:57:19,1,2016
Женский,2005-07-27,20,Убить легко,2023-01-10,21:57:19,1,2016
Женский,1989-03-29,36,Մրցավազք Հռոմում,2023-12-21,21:54:31,1,2112
Женский,1981-03-03,44,Պիպին Հարավային ծովում,2023-07-22,22:04:51,1,2112
Женский,2005-07-27,20,Մրջյուն Սևիկը - Ընկերները,2023-04-09,21:50:54,2,2123
Мужской,1988-04-28,37,Պիպին նավի վրա,2023-04-07,22:00:00,1,2134
Женский,1989-03-29,36,Բալզակ. Մի շան պատմություն,2023-11-02,22:01:23,1,2171.57
Женский,1990-02-13,35,Լյոնեբերգացի Էմիլի նոր չարաճճիությունները,2023-04-30,21:56:53,1,2200
Женский,1990-02-13,35,Պիպին Հարավային ծովում,2023-04-30,21:56:53,1,2200
Женский,1990-02-13,35,Պիպին նավի վրա,2023-04-30,21:56:53,1,2200
Мужской,1978-06-04,47,Բալզակ. Մի շան պատմություն,2023-06-06,22:03:28,1,2208
Женский,1990-02-13,35,Հեքիաթներ հեռախոսով,2023-02-19,22:09:32,1,2214.96
Женский,1985-03-05,40,"Երեք փիսիկ, մեկ հրեշ",2023-11-24,22:44:53,1,2242.5
Женский,1984-01-21,41,Фантастический космос.Ракеты и пришельцы.Более 100идей для космических приключений. Давай рисовать,2023-05-29,17:11:29,1,2261.81
Женский,1999-07-24,26,Ագնես,2023-08-08,21:53:09,1,2304
Женский,1990-08-20,35,Իմ առաջին ընթերցարանը,2023-04-17,21:59:05,1,2328
Женский,1999-07-24,26,Lion King - Hakuna Matata,2023-01-26,22:06:29,1,2336.76
Женский,1977-08-17,48,Սպիտակ ժանիք,2023-07-28,21:58:25,1,2361.9
Женский,1977-08-17,48,Պատվի համար,2023-07-28,21:58:25,1,2364.9
Женский,1981-03-03,44,Հայաստանի և Արցախի քարտեզ պատի,2023-09-16,21:57:00,1,2366.77
Женский,1989-03-29,36,Նախաճաշ Թիֆընիի մոտ,2023-02-20,22:00:00,1,2379.95
Женский,2005-07-27,20,Շատ քաղցած թրթուրը,2023-10-08,22:04:45,1,2393.17
Женский,1967-10-01,58,Winnie-the-Pooh: All About Eeyore,2023-03-09,21:48:50,1,2400
Женский,1967-10-01,58,Winnie-the-Pooh: All About Piglet,2023-03-09,21:48:50,1,2400
Женский,1979-10-08,46,Убийство Роджера Экройда,2023-06-28,22:00:45,1,2400
Женский,1999-07-24,26,Նախաճաշ Թիֆընիի մոտ,2023-04-29,21:57:50,1,2400
Женский,1981-03-03,44,Սփիֆեն,2023-05-18,21:58:49,1,2400
Женский,2020-02-02,5,Գարեգին Նժդեհ․ Ասույթներ,2023-07-30,21:56:21,1,2404.37
Женский,2005-07-27,20,Աշխարհի մեծագույն վաճառականը,2023-08-17,21:52:08,1,2412.5
Женский,2005-07-27,20,Բզբզալիք,2023-08-17,21:52:08,1,2412.5
Мужской,1990-01-04,35,Սփիֆեն,2023-02-23,22:14:47,1,2425
Женский,1968-07-28,57,Ալիսը հրաշքների աշխարհում,2023-02-16,22:32:41,1,2472.37
Женский,1990-02-13,35,Ալիսը հրաշքների աշխարհում,2023-05-02,22:10:01,1,2496
Женский,1999-07-24,26,"Вы, конечно, шутите, мистер Фейнман!",2023-09-15,22:01:47,1,2516.35
Женский,1994-06-12,31,Նահանջ առանց երգի,2023-01-23,19:59:57,1,2580.15
Женский,1990-08-20,35,Շվեյցարացի ռոբինզոնները,2023-10-15,22:07:38,1,2592
Женский,1990-08-20,35,Սև Գեղեցկաբաշը,2023-10-15,22:07:38,1,2592
Женский,1990-02-13,35,Մումիտրոլներն ու մեծ ջրհեղեղը,2023-05-02,22:10:01,1,2592
Женский,1990-02-13,35,Ալիսը հայելու աշխարհում,2023-04-30,21:56:53,1,2600
Женский,1985-03-05,40,Նապաստակի երգը երգող,2023-09-23,22:01:06,1,2605.5
Женский,2005-03-25,20,Հոբ,2023-12-27,23:01:34,1,2619
Женский,1985-03-05,40,Թոմ Սոյերի արկածները,2023-12-22,23:31:02,1,2619
Женский,1990-08-20,35,Мозг. Ваша личная история,2023-10-15,22:07:38,1,2660
Женский,1990-02-13,35,Մաթիլդան,2023-02-19,22:09:32,1,2665.59
Женский,1989-03-29,36,Երփներանգ շղարշ,2023-10-24,21:40:39,1,2683.44
Женский,1958-10-25,67,Քաչալ ոզնին,2023-03-08,21:42:14,1,2688
Женский,1976-10-18,49,Նվերը,2023-01-12,22:00:15,1,2688
Женский,1982-02-14,43,A Practical English Grammar / Անգլերենի գործնական քերականություն,2023-09-09,22:01:16,1,2688
Женский,1977-08-17,48,Երկնագույն նետը,2023-06-26,22:05:34,1,2700
Женский,1994-06-12,31,Կյանքը հին հռովմեական ճանապարհի վրա,2023-02-15,22:10:06,1,2717.32
Женский,1958-10-25,67,Գերբնական գազաններ,2023-03-19,21:58:15,1,2748.56
Женский,1981-03-03,44,Թոմ Գեյթսի սքանչափայլ աշխարհը,2023-11-13,22:28:35,1,2784
Мужской,1988-04-28,37,Շունն ու կատուն խճանկար,2023-04-07,22:00:00,1,2798.5
Женский,2005-07-27,20,Մաշան և արջը - գիրք թատրոն,2023-09-25,22:00:00,1,2798.5
Женский,1958-10-25,67,Թոմ Գեյթսի սքանչափայլ աշխարհը,2023-06-19,21:55:12,1,2813
Женский,1958-10-25,67,Քվիդիչ. մի խաղի պատմություն,2023-03-29,22:01:34,1,2813
Женский,1968-07-28,57,Նեղ դուռը,2023-12-24,23:05:07,1,2829.62
Женский,1998-01-28,27,Quaderno Large - Lined - Stars,2023-10-02,22:00:20,1,2850
Женский,1989-10-14,36,Կյանքը հին հռովմեական ճանապարհի վրա,2023-06-21,22:16:26,1,2858.56
Женский,1998-12-03,27,Մորելի գյուտը,2023-11-25,22:00:45,1,2870.4
Мужской,2009-03-01,16,Գույներ,2023-12-24,23:05:07,1,2870.4
Женский,1999-07-24,26,Ալքիմիկոսը,2023-11-03,21:58:14,1,2870.67
Женский,1998-07-15,27,Անծանոթ ինքնակենսագրություն,2023-03-18,21:57:14,1,2880
Мужской,1990-01-04,35,Միլիոնանոոոոոոց գաղափարը,2023-02-23,22:14:47,1,2900.3
Женский,1958-10-25,67,"Երեք փիսիկ, մեկ երազանք",2023-01-20,22:04:05,1,2900.3
Женский,1958-10-25,67,"Երեք փիսիկ, մեկ հրեշ",2023-11-04,22:01:55,1,2900.3
Женский,1985-03-05,40,Աշխարհի ամենախիզախ նավաստին,2023-12-22,23:31:02,1,2900.3
Женский,2005-07-27,20,Զբոսանք,2023-07-26,22:08:48,1,2900.3
Женский,2005-07-27,20,Խոհանոց,2023-11-29,21:47:55,1,2900.3
Женский,1958-10-25,67,Агата Мистери. Модные интриги в Милане,2023-03-19,21:58:15,1,2907.12
Женский,1992-12-24,33,Եվայի երազը,2023-01-06,21:51:52,1,2921.35
Женский,1998-12-03,27,Օրագիր - Unicorn dream 48 էջ,2023-08-29,22:06:36,1,2945
Женский,1968-07-28,57,Անասնաֆերմա,2023-09-06,22:02:30,1,2947.81
Женский,1990-02-13,35,Քորլայն,2023-02-19,22:09:32,1,2978.73
Женский,2005-07-27,20,Մեջքով երազի քո կեսին հենված,2023-11-08,22:02:47,1,2990
Женский,2005-07-27,20,The secret garden,2023-10-08,22:04:45,1,3037.48
Женский,1958-10-25,67,Агата Мистери. Загадочное происшествиенаВенском балу,2023-01-21,22:14:30,1,3072
Женский,1994-06-09,31,Իմ գրադարանը․ Շիրվանզադե․ Քաոս,2023-06-23,21:59:46,1,3120
Женский,1985-03-05,40,Ես եմ ամենէն ուժովը,2023-11-24,22:44:53,1,3150
Женский,2005-03-25,20,Պետրոսիկը և Լուսինը,2023-12-26,23:13:20,1,3190.83
Женский,1999-07-24,26,Wizard of Oz,2023-03-28,22:06:26,1,3200
Мужской,1988-04-28,37,Շարլոթի սարդոստայնը,2023-04-07,22:00:00,1,3201
Женский,1990-02-13,35,Թոմ Գեյթս. Հիանալի արդարացումներ,2023-11-12,23:09:06,1,3264
Женский,1981-03-03,44,Թոմ Գեյթս. Հիանալի արդարացումներ,2023-11-20,22:10:21,1,3264
Женский,1990-08-20,35,Շարլոթի սարդոստայնը,2023-12-26,22:57:23,1,3265.61
Мужской,1978-06-04,47,Չարլին և շոկոլադի գործարանը,2023-12-06,22:09:19,1,3290.02
Женский,2005-07-27,20,Անսովոր ուժեր,2023-08-08,22:01:54,1,3298
Женский,1968-07-28,57,Գրաֆալո,2023-02-16,22:32:41,1,3328.18
Женский,1982-10-16,43,Աշխարհի չեմպիոն Դանին,2023-08-27,21:45:46,1,3336.09
Женский,2020-02-02,5,Բանտային գրառումներ,2023-07-30,21:56:21,1,3348.62
Мужской,2009-03-01,16,Անուրջներ և մղձավանջներ,2023-10-06,21:58:13,1,3350.4
Женский,1999-07-24,26,Դևը և օրիորդ Պրիմը,2023-08-08,21:53:09,1,3350.4
Женский,1981-03-03,44,"Հայրիկ, դու խենթ ես",2023-08-27,21:50:10,1,3350.4
Мужской,1988-04-28,37,Մեծ բարի հսկան,2023-02-12,22:13:30,1,3350.4
Мужской,1978-06-04,47,Փոքրիկ վհուկը,2023-02-28,22:00:23,1,3360
Женский,1997-01-30,28,Ազատ Սյունիք,2023-07-14,22:00:09,1,3360
Женский,1990-02-13,35,Աննան կանաչ կտուրներից,2023-02-19,22:09:32,1,3360.63
Женский,2020-02-02,5,"Հիշիր պատերազմը, Խուստուփյան կանչեր",2023-07-30,21:56:21,1,3366.12
Женский,2020-02-02,5,Որդիների պայքարը հայրերի դեմ,2023-07-30,21:56:21,1,3366.12
Женский,1994-01-29,31,Դանդաղություն,2023-12-16,21:26:03,1,3385.3
Женский,2005-03-25,20,"Հայրիկ, դու խենթ ես",2023-06-21,22:05:19,1,3385.3
Женский,1998-07-15,27,Դանդաղություն,2023-11-02,22:05:08,1,3385.3
Женский,2005-07-27,20,Մասնաճյուղ,2023-04-05,22:08:49,1,3385.3
Женский,2005-07-27,20,Մենք,2023-04-05,22:08:49,1,3385.3
Женский,1958-10-25,67,Պահարանում հրեշ կա,2023-05-04,21:56:11,1,3395
Женский,1985-03-05,40,Աճեցրու ինձ,2023-12-22,23:31:02,1,3395
Женский,1958-10-25,67,Իկարուսը ժամանակի եզրին,2023-03-19,21:58:15,1,3411.98
Женский,1958-10-25,67,"Արջն ու դաշնամուրը, շունն ու ջութակը",2023-03-19,21:58:15,1,3412.01
Женский,1985-03-05,40,Քո երկրի դեսպանը,2023-09-23,22:01:06,1,3474
Женский,1998-12-03,27,Կարճ նամակ երկար հրաժեշտից առաջ,2023-08-08,22:01:54,1,3490
Женский,1968-07-28,57,Առանց ընտանիքի,2023-12-24,23:05:07,1,3501.53
Женский,1990-02-13,35,Մումիտրոլներն ու գիսաստղը,2023-05-02,22:10:01,1,3552
Женский,1958-10-25,67,Քորլայն,2023-02-07,21:59:42,1,3579.21
Женский,1990-02-13,35,Հարրի Փոթերը և Փիլիսոփայական քարը,2023-02-19,22:09:32,1,3589.77
Женский,1958-10-25,67,Гравити Фолз. Неизвестное измерение. Истории и многоразных развлечений,2023-11-07,21:46:33,1,3610
Мужской,1993-01-01,32,Kaleidoscope - Space,2023-05-09,22:01:37,1,3610
Женский,1994-06-12,31,Սոլարիս,2023-02-15,22:10:06,1,3626.08
Женский,2005-03-25,20,Կարիբյան գաղտնիք,2023-12-26,23:13:20,1,3640.54
Женский,2005-03-25,20,Հետաքննում է Պուարոն,2023-12-26,23:13:20,1,3640.57
Мужской,1988-04-28,37,33 стратегии войны,2023-09-08,22:03:18,1,3666
Женский,1968-07-28,57,Մանի անունով շունը,2023-12-24,23:05:07,1,3690.79
Женский,1990-02-13,35,Թելեթրիփ,2023-04-30,21:56:53,1,3700
Мужской,1978-06-04,47,Առեղծվածային պատահար Սթայլզում,2023-08-19,21:56:46,1,3710.93
Мужской,1978-06-04,47,Կապույտ գնացքի առեղծվածը,2023-08-19,21:56:46,1,3710.93
Мужской,1978-06-04,47,Մահ Նեղոսի վրա,2023-08-19,21:56:46,1,3710.93
Мужской,1978-06-04,47,Սպանություն Արևելյան ճեպընթացում,2023-08-19,21:56:46,1,3710.93
Мужской,1978-06-04,47,Հայտարարվում է սպանություն,2023-08-19,21:56:46,1,3710.94
Мужской,1978-06-04,47,Էնդհաուզի առեղծվածը,2023-08-19,21:56:46,1,3710.97
Мужской,1978-06-04,47,Հետաքննում է Պուարոն,2023-08-19,21:56:46,1,3710.97
Мужской,1978-06-04,47,Մեծ քառյակը,2023-08-19,21:56:46,1,3710.97
Мужской,1978-06-04,47,Ռոջեր Էքրոյդի սպանությունը,2023-08-19,21:56:46,1,3710.97
Женский,1992-12-24,33,Խառնիր ու համընկեցրու,2023-01-06,21:51:52,1,3712.78
Мужской,1978-06-04,47,Չարիքն արևի տակ,2023-03-13,21:56:15,1,3719.47
Мужской,1978-06-04,47,Դիակը գրադարանում,2023-03-13,21:56:15,1,3719.51
Женский,2005-07-27,20,Приглашение на казнь,2023-12-28,23:00:25,1,3740
Женский,1995-06-12,30,Վիշապաքարի գաղտնիքը,2023-11-26,22:25:21,1,3742.5
Мужской,1978-06-04,47,Թունավոր գրիչով ձեռքը,2023-06-24,21:58:21,1,3744
Мужской,1978-06-04,47,Մահ ամպերի մեջ,2023-06-24,21:58:21,1,3744
Мужской,2009-03-01,16,Կարիբյան գաղտնիք,2023-12-24,23:05:07,1,3744
Мужской,2009-03-01,16,Մահ ամպերի մեջ,2023-07-03,22:15:52,1,3744
Женский,1981-03-03,44,Կոնրադը,2023-07-22,22:04:51,1,3744
Женский,2020-02-02,5,Ֆիզիկական օրենքների բնույթը,2023-07-30,21:56:21,1,3750.82
Женский,2020-02-02,5,Ինչ է կյանքը,2023-07-30,21:56:21,1,3750.86
Женский,1977-08-17,48,Խենթը,2023-09-07,22:01:12,1,3763.5
Женский,1985-03-05,40,Անվերջանալի գիշեր,2023-09-23,22:01:06,1,3763.5
Женский,2005-03-25,20,Մոռացված սպանություն,2023-12-26,23:13:20,1,3777.07
Женский,2020-02-02,5,Ալբերտ Էյնշտեյն,2023-07-30,21:56:21,1,3827
Женский,1992-12-24,33,Մշուշի հովիտը,2023-09-09,21:41:48,1,3830.4
Женский,1990-09-16,35,Անդրանիկի վերջին ձին,2023-04-20,22:04:35,1,3840
Женский,2005-07-27,20,Սոլարիս,2023-09-13,21:51:48,1,3870.3
Женский,1990-02-13,35,Կախարդին գումարած ագռավ,2023-04-30,21:56:53,1,3900
Женский,1958-10-25,67,Չարիքն արևի տակ,2023-08-24,21:59:20,1,3900
Женский,1982-10-16,43,"Իջիր դուրս, խաղանք",2023-04-18,22:02:26,1,3900
Женский,1968-07-28,57,Երջանկություն վաճառողը,2023-12-24,23:05:07,1,3974.67
Женский,1976-10-18,49,Kafka: Letters to Milena,2023-12-01,22:00:00,1,4032
Женский,1976-10-18,49,"Мечтай как женщина, побеждай как мужчина.Мужские секреты достижения успеха, которые должна знать ка",2023-12-01,22:00:00,1,4032
Женский,1997-11-04,28,Сиддхартха. Путешествие к земле Востока,2023-04-15,21:55:34,1,4032
Женский,1992-08-11,33,Счастье Муры,2023-04-24,21:59:08,1,4032
Женский,1987-07-04,38,Ալպիական մանուշակ,2023-08-01,22:00:46,1,4071.55
Женский,1990-02-13,35,"Турагентство ""Волшебные миры"". Книга 1",2023-12-17,22:23:39,1,4085
Женский,1998-12-03,27,The Metamorphosis and Other Stories,2023-12-24,23:05:07,1,4180
Мужской,1978-06-04,47,Աննան Ավոնլեայում,2023-06-24,21:58:21,1,4224
